Datetime,Water Level (m)
2024-06-28 00:00:00,0.8188395
2024-06-28 01:00:00,0.86677426
2024-06-28 02:00:00,1.0796672
2024-06-28 03:00:00,1.3242521
2024-06-28 04:00:00,1.5082003
2024-06-28 05:00:00,1.6295043
2024-06-28 06:00:00,1.6818055
2024-06-28 07:00:00,1.625725
2024-06-28 08:00:00,1.5219003
2024-06-28 09:00:00,1.4394094
2024-06-28 10:00:00,1.3805113
2024-06-28 11:00:00,1.3354894
2024-06-28 12:00:00,1.3051759
2024-06-28 13:00:00,1.319768
2024-06-28 14:00:00,1.4786417
2024-06-28 15:00:00,1.7537376
2024-06-28 16:00:00,1.9959487
2024-06-28 17:00:00,2.1440697
2024-06-28 18:00:00,2.172204
2024-06-28 19:00:00,2.0670683
2024-06-28 20:00:00,1.9410576
2024-06-28 21:00:00,1.847934
2024-06-28 22:00:00,1.7756557
2024-06-28 23:00:00,1.7164768
2024-06-29 00:00:00,1.6630244
2024-06-29 01:00:00,1.6178064
2024-06-29 02:00:00,1.5972387
2024-06-29 03:00:00,1.6707042
2024-06-29 04:00:00,1.8695908
2024-06-29 05:00:00,2.1013258
2024-06-29 06:00:00,2.244363
2024-06-29 07:00:00,2.2501292
2024-06-29 08:00:00,2.146853
2024-06-29 09:00:00,2.0432236
2024-06-29 10:00:00,1.9629965
2024-06-29 11:00:00,1.897716
2024-06-29 12:00:00,1.841569
2024-06-29 13:00:00,1.7950876
2024-06-29 14:00:00,1.7729975
2024-06-29 15:00:00,1.8215597
2024-06-29 16:00:00,1.988758
2024-06-29 17:00:00,2.2094498
2024-06-29 18:00:00,2.3529103
2024-06-29 19:00:00,2.356531
2024-06-29 20:00:00,2.2588696
2024-06-29 21:00:00,2.1558957
2024-06-29 22:00:00,2.0704126
2024-06-29 23:00:00,1.9996563
2024-06-30 00:00:00,1.9399258
2024-06-30 01:00:00,1.885299
2024-06-30 02:00:00,1.8366737
2024-06-30 03:00:00,1.8113909
2024-06-30 04:00:00,1.8638376
2024-06-30 05:00:00,2.0313027
2024-06-30 06:00:00,2.2457194
2024-06-30 07:00:00,2.3925474
2024-06-30 08:00:00,2.4101918
2024-06-30 09:00:00,2.3235366
2024-06-30 10:00:00,2.2247643
2024-06-30 11:00:00,2.1417394
2024-06-30 12:00:00,2.070723
2024-06-30 13:00:00,2.0115933
2024-06-30 14:00:00,1.9564388
2024-06-30 15:00:00,1.9129645
2024-06-30 16:00:00,1.9041334
2024-06-30 17:00:00,1.9772185
2024-06-30 18:00:00,2.122911
2024-06-30 19:00:00,2.2507882
2024-06-30 20:00:00,2.2855592
2024-06-30 21:00:00,2.2365766
2024-06-30 22:00:00,2.1623294
2024-06-30 23:00:00,2.0908332
2024-07-01 00:00:00,2.0275183
2024-07-01 01:00:00,1.9715754
2024-07-01 02:00:00,1.9213367
2024-07-01 03:00:00,1.8786789
2024-07-01 04:00:00,1.8520218
2024-07-01 05:00:00,1.8779168
2024-07-01 06:00:00,2.001737
2024-07-01 07:00:00,2.182629
2024-07-01 08:00:00,2.3299015
2024-07-01 09:00:00,2.365161
2024-07-01 10:00:00,2.3026383
2024-07-01 11:00:00,2.218064
2024-07-01 12:00:00,2.140924
2024-07-01 13:00:00,2.0748003
2024-07-01 14:00:00,2.018714
2024-07-01 15:00:00,1.9692161
2024-07-01 16:00:00,1.9270946
2024-07-01 17:00:00,1.9036779
2024-07-01 18:00:00,1.9275278
2024-07-01 19:00:00,2.0278478
2024-07-01 20:00:00,2.1488583
2024-07-01 21:00:00,2.210036
2024-07-01 22:00:00,2.1938212
2024-07-01 23:00:00,2.1390047
2024-07-02 00:00:00,2.0778978
2024-07-02 01:00:00,2.0195396
2024-07-02 02:00:00,1.9693563
2024-07-02 03:00:00,1.925388
2024-07-02 04:00:00,1.8844961
2024-07-02 05:00:00,1.8561532
2024-07-02 06:00:00,1.8742805
2024-07-02 07:00:00,1.985318
2024-07-02 08:00:00,2.1589115
2024-07-02 09:00:00,2.3077753
2024-07-02 10:00:00,2.354066
2024-07-02 11:00:00,2.305362
2024-07-02 12:00:00,2.2285712
2024-07-02 13:00:00,2.1554434
2024-07-02 14:00:00,2.0914116
2024-07-02 15:00:00,2.0359085
2024-07-02 16:00:00,1.9867632
2024-07-02 17:00:00,1.9432185
2024-07-02 18:00:00,1.9111617
2024-07-02 19:00:00,1.9154726
2024-07-02 20:00:00,1.990056
2024-07-02 21:00:00,2.1037273
2024-07-02 22:00:00,2.17579
2024-07-02 23:00:00,2.1769197
2024-07-03 00:00:00,2.1352208
2024-07-03 01:00:00,2.0811186
2024-07-03 02:00:00,2.0284338
2024-07-03 03:00:00,1.9797269
2024-07-03 04:00:00,1.936484
2024-07-03 05:00:00,1.8993996
2024-07-03 06:00:00,1.8802173
2024-07-03 07:00:00,1.9252024
2024-07-03 08:00:00,2.0615196
2024-07-03 09:00:00,2.2632575
2024-07-03 10:00:00,2.4452562
2024-07-03 11:00:00,2.5178738
2024-07-03 12:00:00,2.459391
2024-07-03 13:00:00,2.363157
2024-07-03 14:00:00,2.2798536
2024-07-03 15:00:00,2.2086906
2024-07-03 16:00:00,2.1467965
2024-07-03 17:00:00,2.0909994
2024-07-03 18:00:00,2.0416152
2024-07-03 19:00:00,2.004096
2024-07-03 20:00:00,2.0084503
2024-07-03 21:00:00,2.095186
2024-07-03 22:00:00,2.2157717
2024-07-03 23:00:00,2.2825422
2024-07-04 00:00:00,2.2730227
